Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,1,2015-07-06,4359,540,1,0,0,0
2,1,2015-07-06,4132,523,1,0,0,0
3,1,2015-07-06,6736,734,1,0,0,1
4,1,2015-07-06,9967,1373,1,0,0,0
5,1,2015-07-06,4328,543,1,0,0,0
1,7,2015-07-05,0,0,0,0,0,0
2,7,2015-07-05,0,0,0,0,0,0
3,7,2015-07-05,0,0,0,0,0,0
4,7,2015-07-05,0,0,0,0,0,0
5,7,2015-07-05,0,0,0,0,0,0
1,6,2015-07-04,4797,560,1,0,0,0
2,6,2015-07-04,4475,1147,1,0,0,0
3,6,2015-07-04,4482,456,1,0,0,0
4,6,2015-07-04,9358,1257,1,0,0,0
5,6,2015-07-04,2240,225,1,0,0,0
1,5,2015-07-03,4665,538,1,1,0,0
2,5,2015-07-03,4838,1029,1,1,0,0
3,5,2015-07-03,8149,742,1,1,0,1
4,5,2015-07-03,11543,1395,1,1,0,0
5,5,2015-07-03,4475,527,1,1,0,0
1,4,2015-07-02,5558,573,1,1,0,0
2,4,2015-07-02,6189,921,1,1,0,0
3,4,2015-07-02,7450,701,1,1,0,1
4,4,2015-07-02,10323,1333,1,1,0,0
5,4,2015-07-02,6035,613,1,1,0,0
1,3,2015-07-01,5223,562,1,1,0,0
2,3,2015-07-01,6431,786,1,1,0,0
3,3,2015-07-01,8311,772,1,1,0,1
4,3,2015-07-01,11216,1359,1,1,0,0
5,3,2015-07-01,6253,717,1,1,0,0
1,2,2015-06-30,5735,568,1,1,0,0
2,2,2015-06-30,9863,877,1,1,0,0
3,2,2015-06-30,13261,1072,1,1,0,1
4,2,2015-06-30,13106,1488,1,1,0,0
5,2,2015-06-30,6635,645,1,1,0,0
1,1,2015-06-29,5197,541,1,1,0,0
2,1,2015-06-29,7961,734,1,1,0,0
3,1,2015-06-29,10243,817,1,1,0,1
4,1,2015-06-29,11692,1361,1,1,0,0
5,1,2015-06-29,7623,668,1,1,0,0
1,7,2015-06-28,0,0,0,0,0,0
2,7,2015-06-28,0,0,0,0,0,0
3,7,2015-06-28,0,0,0,0,0,0
4,7,2015-06-28,0,0,0,0,0,0
5,7,2015-06-28,0,0,0,0,0,0
1,6,2015-06-27,4019,463,1,0,0,0
2,6,2015-06-27,2404,303,1,0,0,0
3,6,2015-06-27,5156,641,1,0,0,0
4,6,2015-06-27,8989,1268,1,0,0,0
5,6,2015-06-27,1876,203,1,0,0,0
1,5,2015-06-26,3317,420,1,0,0,0
2,5,2015-06-26,3953,476,1,0,0,0
3,5,2015-06-26,6222,698,1,0,0,0
4,5,2015-06-26,7684,1076,1,0,0,0
5,5,2015-06-26,3799,460,1,0,0,0
1,4,2015-06-25,3533,433,1,0,0,0
2,4,2015-06-25,4022,508,1,0,0,0
3,4,2015-06-25,5763,693,1,0,0,0
4,4,2015-06-25,7111,1046,1,0,0,0
5,4,2015-06-25,3325,472,1,0,0,0
1,3,2015-06-24,3346,414,1,0,0,0
2,3,2015-06-24,4805,654,1,0,0,0
3,3,2015-06-24,5448,633,1,0,0,0
4,3,2015-06-24,8048,1094,1,0,0,0
5,3,2015-06-24,4134,561,1,0,0,0
1,2,2015-06-23,3762,447,1,0,0,0
2,2,2015-06-23,4094,512,1,0,0,0
3,2,2015-06-23,6757,779,1,0,0,0
4,2,2015-06-23,7635,1118,1,0,0,0
5,2,2015-06-23,3697,475,1,0,0,0
1,1,2015-06-22,3846,489,1,0,0,0
2,1,2015-06-22,4123,491,1,0,0,0
3,1,2015-06-22,5840,638,1,0,0,0
4,1,2015-06-22,9118,1230,1,0,0,0
5,1,2015-06-22,3827,497,1,0,0,0
1,7,2015-06-21,0,0,0,0,0,0
2,7,2015-06-21,0,0,0,0,0,0
3,7,2015-06-21,0,0,0,0,0,0
4,7,2015-06-21,0,0,0,0,0,0
5,7,2015-06-21,0,0,0,0,0,0
1,6,2015-06-20,4097,494,1,0,0,0
2,6,2015-06-20,3020,323,1,0,0,0
3,6,2015-06-20,3891,424,1,0,0,0
4,6,2015-06-20,9374,1311,1,0,0,0
5,6,2015-06-20,2088,210,1,0,0,0
1,5,2015-06-19,4202,487,1,1,0,0
2,5,2015-06-19,4926,544,1,1,0,0
3,5,2015-06-19,8074,797,1,1,0,0
4,5,2015-06-19,9686,1281,1,1,0,0
5,5,2015-06-19,5711,610,1,1,0,0
1,4,2015-06-18,4645,498,1,1,0,0
2,4,2015-06-18,5154,594,1,1,0,0
3,4,2015-06-18,7537,743,1,1,0,0
4,4,2015-06-18,8880,1138,1,1,0,0
5,4,2015-06-18,4924,545,1,1,0,0
1,3,2015-06-17,4000,476,1,1,0,0
2,3,2015-06-17,6924,805,1,1,0,0
3,3,2015-06-17,8524,821,1,1,0,0
4,3,2015-06-17,9685,1254,1,1,0,0
5,3,2015-06-17,5632,651,1,1,0,0
1,2,2015-06-16,4852,503,1,1,0,0
2,2,2015-06-16,6243,648,1,1,0,0
3,2,2015-06-16,9780,911,1,1,0,0
4,2,2015-06-16,10671,1352,1,1,0,0
5,2,2015-06-16,6354,671,1,1,0,0
1,1,2015-06-15,5518,586,1,1,0,0
2,1,2015-06-15,8106,762,1,1,0,0
3,1,2015-06-15,10818,955,1,1,0,0
4,1,2015-06-15,12398,1473,1,1,0,0
5,1,2015-06-15,7808,747,1,1,0,0
1,7,2015-06-14,0,0,0,0,0,0
2,7,2015-06-14,0,0,0,0,0,0
3,7,2015-06-14,0,0,0,0,0,0
4,7,2015-06-14,0,0,0,0,0,0
5,7,2015-06-14,0,0,0,0,0,0
1,6,2015-06-13,4256,502,1,0,0,0
2,6,2015-06-13,2574,319,1,0,0,0
3,6,2015-06-13,4687,492,1,0,0,0
4,6,2015-06-13,9779,1370,1,0,0,0
5,6,2015-06-13,2156,234,1,0,0,0
1,5,2015-06-12,3695,422,1,0,0,0
2,5,2015-06-12,3539,480,1,0,0,0
3,5,2015-06-12,6181,681,1,0,0,0
4,5,2015-06-12,7889,1090,1,0,0,0
5,5,2015-06-12,4329,500,1,0,0,0
1,4,2015-06-11,3627,442,1,0,0,0
2,4,2015-06-11,4240,515,1,0,0,0
3,4,2015-06-11,5656,699,1,0,0,0
4,4,2015-06-11,7407,1081,1,0,0,0
5,4,2015-06-11,4082,507,1,0,0,0
1,3,2015-06-10,3591,453,1,0,0,0
2,3,2015-06-10,5035,680,1,0,0,0
3,3,2015-06-10,6440,719,1,0,0,0
4,3,2015-06-10,7445,1049,1,0,0,0
5,3,2015-06-10,4191,557,1,0,0,0
1,2,2015-06-09,4102,485,1,0,0,0
2,2,2015-06-09,4097,560,1,0,0,0
3,2,2015-06-09,7127,772,1,0,0,0
4,2,2015-06-09,8002,1110,1,0,0,0
5,2,2015-06-09,3999,522,1,0,0,0
1,1,2015-06-08,4071,502,1,0,0,0
2,1,2015-06-08,3918,501,1,0,0,0
3,1,2015-06-08,6567,766,1,0,0,0
4,1,2015-06-08,9640,1268,1,0,0,0
5,1,2015-06-08,4260,558,1,0,0,0
1,7,2015-06-07,0,0,0,0,0,0
2,7,2015-06-07,0,0,0,0,0,0
3,7,2015-06-07,0,0,0,0,0,0
4,7,2015-06-07,0,0,0,0,0,0
5,7,2015-06-07,0,0,0,0,0,0
1,6,2015-06-06,4183,460,1,0,0,0
2,6,2015-06-06,2641,319,1,0,0,0
3,6,2015-06-06,4622,539,1,0,0,0
4,6,2015-06-06,8218,1219,1,0,0,0
5,6,2015-06-06,1838,236,1,0,0,0
1,5,2015-06-05,5384,609,1,1,0,0
2,5,2015-06-05,4938,532,1,1,0,0
3,5,2015-06-05,9685,935,1,1,0,0
4,5,2015-06-05,10416,1404,1,1,0,0
5,5,2015-06-05,5431,595,1,1,0,0
1,4,2015-06-04,0,0,0,1,a,0
2,4,2015-06-04,5810,646,1,1,0,0
3,4,2015-06-04,0,0,0,1,a,0
4,4,2015-06-04,10200,1311,1,1,0,0
5,4,2015-06-04,5807,625,1,1,a,0
1,3,2015-06-03,5809,616,1,1,0,0
2,3,2015-06-03,6682,768,1,1,0,0
3,3,2015-06-03,9590,918,1,1,0,0
4,3,2015-06-03,10621,1341,1,1,0,0
5,3,2015-06-03,5703,674,1,1,0,0
1,2,2015-06-02,5450,590,1,1,0,0
2,2,2015-06-02,7099,697,1,1,0,0
3,2,2015-06-02,10455,978,1,1,0,0
4,2,2015-06-02,11222,1438,1,1,0,0
5,2,2015-06-02,6416,686,1,1,0,0
1,1,2015-06-01,5774,607,1,1,0,0
2,1,2015-06-01,6629,673,1,1,0,0
3,1,2015-06-01,11594,1012,1,1,0,0
4,1,2015-06-01,13727,1695,1,1,0,0
5,1,2015-06-01,8396,778,1,1,0,0
1,7,2015-05-31,0,0,0,0,0,0
2,7,2015-05-31,0,0,0,0,0,0
3,7,2015-05-31,0,0,0,0,0,0
4,7,2015-05-31,0,0,0,0,0,0
5,7,2015-05-31,0,0,0,0,0,0
1,6,2015-05-30,5592,580,1,0,0,0
2,6,2015-05-30,3447,513,1,0,0,0
3,6,2015-05-30,4542,458,1,0,0,0
4,6,2015-05-30,12187,1590,1,0,0,0
5,6,2015-05-30,2533,251,1,0,0,0
1,5,2015-05-29,4656,537,1,0,0,0
2,5,2015-05-29,4541,576,1,0,0,0
3,5,2015-05-29,7421,793,1,0,0,0
4,5,2015-05-29,10529,1366,1,0,0,0
5,5,2015-05-29,5833,651,1,0,0,0
1,4,2015-05-28,4111,474,1,0,0,0
2,4,2015-05-28,4049,518,1,0,0,0
3,4,2015-05-28,6475,677,1,0,0,0
4,4,2015-05-28,8550,1158,1,0,0,0
5,4,2015-05-28,4134,513,1,0,0,0
1,3,2015-05-27,4083,497,1,0,0,0
2,3,2015-05-27,5093,672,1,0,0,0
3,3,2015-05-27,5589,644,1,0,0,0
4,3,2015-05-27,8305,1177,1,0,0,0
5,3,2015-05-27,4431,571,1,0,0,0
1,2,2015-05-26,4211,479,1,0,0,0
2,2,2015-05-26,4708,564,1,0,0,0
3,2,2015-05-26,6443,738,1,0,0,1
4,2,2015-05-26,10587,1450,1,0,0,1
5,2,2015-05-26,4567,570,1,0,0,0
1,1,2015-05-25,0,0,0,0,a,0
2,1,2015-05-25,0,0,0,0,a,0
3,1,2015-05-25,0,0,0,0,a,0
4,1,2015-05-25,0,0,0,0,a,0
5,1,2015-05-25,0,0,0,0,a,0
1,7,2015-05-24,0,0,0,0,0,0
2,7,2015-05-24,0,0,0,0,0,0
3,7,2015-05-24,0,0,0,0,0,0
4,7,2015-05-24,0,0,0,0,0,0
5,7,2015-05-24,0,0,0,0,0,0
1,6,2015-05-23,4276,506,1,0,0,0
2,6,2015-05-23,2732,331,1,0,0,0
3,6,2015-05-23,4613,485,1,0,0,0
4,6,2015-05-23,10118,1395,1,0,0,0
5,6,2015-05-23,2151,236,1,0,0,0
1,5,2015-05-22,4459,495,1,1,0,0
2,5,2015-05-22,4564,504,1,1,0,0
3,5,2015-05-22,7349,769,1,1,0,0
4,5,2015-05-22,9480,1295,1,1,0,0
5,5,2015-05-22,4813,582,1,1,0,0
1,4,2015-05-21,3755,471,1,1,0,0
2,4,2015-05-21,5431,609,1,1,0,0
3,4,2015-05-21,7682,776,1,1,0,0
4,4,2015-05-21,8985,1257,1,1,0,0
5,4,2015-05-21,4660,547,1,1,0,0
1,3,2015-05-20,4735,533,1,1,0,0
2,3,2015-05-20,6696,794,1,1,0,0
3,3,2015-05-20,8226,798,1,1,0,0
4,3,2015-05-20,10393,1299,1,1,0,0
5,3,2015-05-20,5697,668,1,1,0,0
1,2,2015-05-19,5235,546,1,1,0,0
2,2,2015-05-19,6388,631,1,1,0,0
3,2,2015-05-19,8728,871,1,1,0,0
4,2,2015-05-19,9930,1321,1,1,0,0
5,2,2015-05-19,5957,634,1,1,0,0
1,1,2015-05-18,5280,577,1,1,0,0
2,1,2015-05-18,8078,747,1,1,0,0
3,1,2015-05-18,10040,919,1,1,0,0
4,1,2015-05-18,11421,1474,1,1,0,0
5,1,2015-05-18,7173,707,1,1,0,0
1,7,2015-05-17,0,0,0,0,0,0
2,7,2015-05-17,0,0,0,0,0,0
3,7,2015-05-17,0,0,0,0,0,0
4,7,2015-05-17,0,0,0,0,0,0
5,7,2015-05-17,0,0,0,0,0,0
1,6,2015-05-16,4431,505,1,0,0,0
2,6,2015-05-16,2831,337,1,0,0,0
3,6,2015-05-16,4149,464,1,0,0,0
4,6,2015-05-16,10957,1426,1,0,0,0
5,6,2015-05-16,1997,221,1,0,0,0
1,5,2015-05-15,4178,523,1,0,0,0
2,5,2015-05-15,5293,592,1,0,0,1
3,5,2015-05-15,7515,865,1,0,0,0
4,5,2015-05-15,10705,1475,1,0,0,1
5,5,2015-05-15,4746,592,1,0,0,1
1,4,2015-05-14,0,0,0,0,a,0
2,4,2015-05-14,0,0,0,0,a,0
3,4,2015-05-14,0,0,0,0,a,0
4,4,2015-05-14,0,0,0,0,a,0
5,4,2015-05-14,0,0,0,0,a,0
1,3,2015-05-13,3998,523,1,0,0,0
2,3,2015-05-13,5662,734,1,0,0,0
3,3,2015-05-13,7003,772,1,0,0,0
4,3,2015-05-13,10041,1408,1,0,0,0
5,3,2015-05-13,5414,692,1,0,0,0
1,2,2015-05-12,3547,438,1,0,0,0
2,2,2015-05-12,4319,541,1,0,0,0
3,2,2015-05-12,6043,707,1,0,0,0
4,2,2015-05-12,7543,1091,1,0,0,0
5,2,2015-05-12,4438,562,1,0,0,0
1,1,2015-05-11,3551,453,1,0,0,0
2,1,2015-05-11,4521,544,1,0,0,0
3,1,2015-05-11,5797,714,1,0,0,0
4,1,2015-05-11,8023,1176,1,0,0,0
5,1,2015-05-11,4305,517,1,0,0,0
1,7,2015-05-10,0,0,0,0,0,0
2,7,2015-05-10,0,0,0,0,0,0
3,7,2015-05-10,0,0,0,0,0,0
4,7,2015-05-10,0,0,0,0,0,0
5,7,2015-05-10,0,0,0,0,0,0
1,6,2015-05-09,4945,596,1,0,0,0
2,6,2015-05-09,2722,348,1,0,0,0
3,6,2015-05-09,6024,743,1,0,0,0
4,6,2015-05-09,10637,1484,1,0,0,0
5,6,2015-05-09,2354,254,1,0,0,0
1,5,2015-05-08,4683,536,1,1,0,0
2,5,2015-05-08,5734,753,1,1,0,0
3,5,2015-05-08,9083,891,1,1,0,0
4,5,2015-05-08,10153,1336,1,1,0,0
5,5,2015-05-08,5301,610,1,1,0,0
1,4,2015-05-07,4529,491,1,1,0,0
2,4,2015-05-07,5382,597,1,1,0,0
3,4,2015-05-07,7705,800,1,1,0,0
4,4,2015-05-07,9842,1268,1,1,0,0
5,4,2015-05-07,4897,577,1,1,0,0
1,3,2015-05-06,4960,536,1,1,0,0
2,3,2015-05-06,6558,780,1,1,0,0
3,3,2015-05-06,9046,877,1,1,0,0
4,3,2015-05-06,10287,1273,1,1,0,0
5,3,2015-05-06,5795,660,1,1,0,0
1,2,2015-05-05,4564,514,1,1,0,0
2,2,2015-05-05,6295,653,1,1,0,0
3,2,2015-05-05,8719,818,1,1,0,0
4,2,2015-05-05,9583,1311,1,1,0,0
5,2,2015-05-05,6315,626,1,1,0,0
1,1,2015-05-04,5591,589,1,1,0,0
2,1,2015-05-04,6901,681,1,1,0,0
3,1,2015-05-04,9488,928,1,1,0,0
4,1,2015-05-04,11942,1467,1,1,0,0
5,1,2015-05-04,7503,754,1,1,0,0
1,7,2015-05-03,0,0,0,0,0,0
2,7,2015-05-03,0,0,0,0,0,0
3,7,2015-05-03,0,0,0,0,0,0
4,7,2015-05-03,0,0,0,0,0,0
5,7,2015-05-03,0,0,0,0,0,0
1,6,2015-05-02,5850,653,1,0,0,0
2,6,2015-05-02,3590,423,1,0,0,0
3,6,2015-05-02,6564,674,1,0,0,0
4,6,2015-05-02,12750,1685,1,0,0,0
5,6,2015-05-02,3182,327,1,0,0,0
1,5,2015-05-01,0,0,0,1,a,0
2,5,2015-05-01,0,0,0,1,a,0
3,5,2015-05-01,0,0,0,1,a,0
4,5,2015-05-01,0,0,0,1,a,0
5,5,2015-05-01,0,0,0,1,a,0
1,4,2015-04-30,6228,650,1,1,0,0
2,4,2015-04-30,6884,716,1,1,0,0
3,4,2015-04-30,9971,979,1,1,0,0
4,4,2015-04-30,16106,1854,1,1,0,0
5,4,2015-04-30,6598,729,1,1,0,0
1,3,2015-04-29,5775,579,1,1,0,0
2,3,2015-04-29,6764,756,1,1,0,0
3,3,2015-04-29,9484,897,1,1,0,0
4,3,2015-04-29,9420,1264,1,1,0,0
5,3,2015-04-29,6366,717,1,1,0,0
1,2,2015-04-28,5199,552,1,1,0,0
2,2,2015-04-28,6861,678,1,1,0,0
3,2,2015-04-28,8758,870,1,1,0,0
4,2,2015-04-28,10751,1358,1,1,0,0
5,2,2015-04-28,6012,580,1,1,0,0
1,1,2015-04-27,5575,574,1,1,0,0
2,1,2015-04-27,6523,647,1,1,0,0
3,1,2015-04-27,9447,866,1,1,0,0
4,1,2015-04-27,12168,1442,1,1,0,0
5,1,2015-04-27,6858,670,1,1,0,0
1,7,2015-04-26,0,0,0,0,0,0
2,7,2015-04-26,0,0,0,0,0,0
3,7,2015-04-26,0,0,0,0,0,0
4,7,2015-04-26,0,0,0,0,0,0
5,7,2015-04-26,0,0,0,0,0,0
1,6,2015-04-25,4318,537,1,0,0,0
2,6,2015-04-25,2916,453,1,0,0,0
3,6,2015-04-25,4373,473,1,0,0,0
4,6,2015-04-25,8571,1289,1,0,0,0
5,6,2015-04-25,2015,224,1,0,0,0
1,5,2015-04-24,3198,437,1,0,0,0
2,5,2015-04-24,3678,482,1,0,0,0
3,5,2015-04-24,5376,658,1,0,0,0
4,5,2015-04-24,7175,1070,1,0,0,0
5,5,2015-04-24,3516,487,1,0,0,0
1,4,2015-04-23,3076,426,1,0,0,0
2,4,2015-04-23,3588,482,1,0,0,0
3,4,2015-04-23,5570,677,1,0,0,0
4,4,2015-04-23,7021,1050,1,0,0,0
5,4,2015-04-23,3586,495,1,0,0,0
1,3,2015-04-22,3319,411,1,0,0,0
2,3,2015-04-22,5032,641,1,0,0,0
3,3,2015-04-22,5875,685,1,0,0,0
4,3,2015-04-22,7444,1067,1,0,0,0
5,3,2015-04-22,4121,562,1,0,0,0
1,2,2015-04-21,3037,416,1,0,0,0
2,2,2015-04-21,3291,469,1,0,0,0
3,2,2015-04-21,5756,678,1,0,0,0
4,2,2015-04-21,6791,998,1,0,0,0
5,2,2015-04-21,3388,479,1,0,0,0
1,1,2015-04-20,3722,480,1,0,0,0
2,1,2015-04-20,4184,511,1,0,0,0
3,1,2015-04-20,5238,661,1,0,0,0
4,1,2015-04-20,8537,1261,1,0,0,0
5,1,2015-04-20,3797,525,1,0,0,0
1,7,2015-04-19,0,0,0,0,0,0
2,7,2015-04-19,0,0,0,0,0,0
3,7,2015-04-19,0,0,0,0,0,0
4,7,2015-04-19,0,0,0,0,0,0
5,7,2015-04-19,0,0,0,0,0,0
1,6,2015-04-18,4594,544,1,0,0,0
2,6,2015-04-18,3066,340,1,0,0,0
3,6,2015-04-18,3772,457,1,0,0,0
4,6,2015-04-18,11196,1456,1,0,0,0
5,6,2015-04-18,1828,230,1,0,0,0
1,5,2015-04-17,4718,511,1,1,0,0
2,5,2015-04-17,4948,549,1,1,0,0
3,5,2015-04-17,7735,824,1,1,0,0
4,5,2015-04-17,10025,1320,1,1,0,0
5,5,2015-04-17,5098,578,1,1,0,0
1,4,2015-04-16,4116,480,1,1,0,0
2,4,2015-04-16,5371,590,1,1,0,0
3,4,2015-04-16,8336,828,1,1,0,0
4,4,2015-04-16,9818,1298,1,1,0,0
5,4,2015-04-16,5404,579,1,1,0,0
1,3,2015-04-15,4110,501,1,1,0,0
2,3,2015-04-15,7132,850,1,1,0,0
3,3,2015-04-15,8651,851,1,1,0,0
4,3,2015-04-15,9130,1193,1,1,0,0
5,3,2015-04-15,6071,681,1,1,0,0
1,2,2015-04-14,4648,535,1,1,0,0
2,2,2015-04-14,6569,703,1,1,0,0
3,2,2015-04-14,9274,904,1,1,0,0
4,2,2015-04-14,10050,1311,1,1,0,0
5,2,2015-04-14,6132,660,1,1,0,0
1,1,2015-04-13,5377,574,1,1,0,0
2,1,2015-04-13,6947,698,1,1,0,0
3,1,2015-04-13,9563,842,1,1,0,0
4,1,2015-04-13,11303,1486,1,1,0,0
5,1,2015-04-13,7213,727,1,1,0,0
1,7,2015-04-12,0,0,0,0,0,0
2,7,2015-04-12,0,0,0,0,0,0
3,7,2015-04-12,0,0,0,0,0,0
4,7,2015-04-12,0,0,0,0,0,0
5,7,2015-04-12,0,0,0,0,0,0
1,6,2015-04-11,4173,525,1,0,0,0
2,6,2015-04-11,2662,319,1,0,0,0
3,6,2015-04-11,4008,432,1,0,0,0
4,6,2015-04-11,9494,1339,1,0,0,0
5,6,2015-04-11,1945,222,1,0,0,0
1,5,2015-04-10,3549,428,1,0,0,1
2,5,2015-04-10,3824,488,1,0,0,1
3,5,2015-04-10,6343,716,1,0,0,1
4,5,2015-04-10,7944,1181,1,0,0,1
5,5,2015-04-10,4064,514,1,0,0,1
1,4,2015-04-09,3467,430,1,0,0,1
2,4,2015-04-09,3793,501,1,0,0,1
3,4,2015-04-09,6185,753,1,0,0,1
4,4,2015-04-09,8556,1209,1,0,0,1
5,4,2015-04-09,3704,512,1,0,0,1
1,3,2015-04-08,4194,500,1,0,0,1
2,3,2015-04-08,5304,677,1,0,0,1
3,3,2015-04-08,6253,722,1,0,0,1
4,3,2015-04-08,9174,1276,1,0,0,1
5,3,2015-04-08,4191,550,1,0,0,1
1,2,2015-04-07,4163,555,1,0,0,1
2,2,2015-04-07,4588,582,1,0,0,1
3,2,2015-04-07,6830,814,1,0,0,1
4,2,2015-04-07,11354,1620,1,0,0,1
